CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Approved
619,Amritsar,Female,39,8,0,1,1,101348.88,1
608,Delhi,Female,56,10,83807.86,1,0,112542.58,0
502,Amritsar,Female,43,7,159660.8,3,1,113931.57,1
699,Amritsar,Female,22,5,0,2,0,93826.63,0
850,Delhi,Female,22,7,125510.82,1,1,79084.1,0
645,Delhi,Male,40,3,113755.78,2,1,149756.71,1
822,Amritsar,Male,21,3,0,2,1,10062.8,0
376,Mumbai,Female,26,3,115046.74,4,1,119346.88,1
501,Amritsar,Male,55,9,142051.07,2,0,74940.5,0
684,Amritsar,Male,47,4,134603.88,1,1,71725.73,0
528,Amritsar,Male,48,1,102016.72,2,0,80181.12,0
497,Delhi,Male,58,10,0,2,1,76390.01,0
476,Amritsar,Female,27,5,0,2,1,26260.98,0
549,Amritsar,Female,22,4,0,2,0,190857.79,0
635,Delhi,Female,37,9,0,2,1,65951.65,0
616,Mumbai,Male,36,6,143129.41,2,0,64327.26,0
653,Mumbai,Male,49,1,132602.88,1,1,5097.67,1
549,Delhi,Female,39,4,0,2,1,14406.41,0
587,Delhi,Male,31,3,0,1,0,158684.81,0
726,Amritsar,Female,55,4,0,2,1,54724.03,0
732,Amritsar,Male,27,6,0,2,1,170886.17,0
636,Delhi,Female,27,10,0,2,1,138555.46,0
510,Delhi,Female,60,7,0,1,1,118913.53,1
669,Amritsar,Male,55,3,0,2,0,8487.75,0
846,Amritsar,Female,23,4,0,1,1,187616.16,0
577,Amritsar,Male,56,8,0,2,0,124508.29,0
756,Mumbai,Male,58,7,136815.64,1,1,170041.95,0
571,Amritsar,Male,38,6,0,2,0,38433.35,0
574,Mumbai,Female,47,6,141349.43,1,1,100187.43,0
411,Amritsar,Male,31,3,59697.17,2,1,53483.21,0
591,Delhi,Female,53,8,0,3,1,140469.38,1
533,Amritsar,Male,55,5,85311.7,1,0,156731.91,0
553,Mumbai,Male,49,7,110112.54,2,0,81898.81,0
520,Delhi,Female,41,5,0,2,1,34410.55,0
722,Delhi,Female,43,4,0,2,1,142033.07,0
475,Amritsar,Female,32,1,134264.04,1,1,27822.99,1
490,Delhi,Male,57,1,145260.23,1,0,114066.77,0
804,Delhi,Male,57,2,76548.6,1,0,98453.45,0
850,Amritsar,Male,38,5,0,1,1,40812.9,0
582,Mumbai,Male,20,8,70349.48,2,0,178074.04,0
472,Delhi,Male,30,2,0,1,1,70154.22,0
465,Amritsar,Female,25,9,122522.32,1,0,181297.65,1
556,Amritsar,Female,42,2,117419.35,1,1,94153.83,0
834,Amritsar,Female,21,10,131394.56,1,0,194365.76,1
660,Delhi,Female,39,8,155931.11,1,1,158338.39,0
776,Mumbai,Female,21,3,109421.13,2,1,126517.46,0
829,Mumbai,Female,27,2,112045.67,1,1,119708.21,1
637,Mumbai,Female,29,5,137843.8,1,1,117622.8,1
550,Mumbai,Male,40,3,103391.38,1,0,90878.13,0
776,Mumbai,Female,23,10,103769.22,2,1,194099.12,0
698,Mumbai,Male,41,1,116363.37,2,1,198059.16,0
585,Mumbai,Male,57,6,146050.97,2,0,86424.57,0
